Time (s),x Accel,y Accel,z Accel,x Vel,y Vel,x Dis,y Dis,Interval Index Range,Interval #,Last Interval Value X,Last Interval Value Y,Offset X,Offset Y,Corrected x Dis,Corrected y Dis
1.9,0.098175032,-0.069661531,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.098049606,-0.070220287,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.097917701,-0.070745566,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.097777477,-0.071232785,0,0.188396239,-0.196044087,0.187945459,-0.210290351,,,,,,,0.187945459,-0.210290351
1.9,0.097627106,-0.071677733,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.097465206,-0.072076778,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.097290958,-0.072427205,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.097104209,-0.072727521,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.096905694,-0.072977733,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.09669685,-0.073179573,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.096479005,-0.073336663,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.096252571,-0.073454592,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
2,0.096016855,-0.073540869,0,0.198150855,-0.203231812,0.207760544,-0.230613533,,,,,,,0.207760544,-0.230613533
